State,Date,Population
Delhi,2023-04-01,1648554.7475621854
Delhi,2023-05-01,1649377.790371752
Delhi,2023-06-01,1650200.8331813186
Delhi,2023-07-01,1651023.8759908853
Delhi,2023-08-01,1651846.9188004523
Delhi,2023-09-01,1652669.9616100187
Delhi,2023-10-01,1653493.0044195857
Delhi,2023-11-01,1654316.0472291524
Delhi,2023-12-01,1655139.0900387191
Delhi,2024-01-01,1661170.4088237998
Delhi,2024-02-01,1662000.9940282116
Delhi,2024-03-01,1662831.5792326236
Delhi,2024-04-01,1663662.1644370356
Delhi,2024-05-01,1664492.7496414476
Delhi,2024-06-01,1665323.3348458593
Delhi,2024-07-01,1666153.9200502709
Delhi,2024-08-01,1666984.505254683
Delhi,2024-09-01,1667815.090459095
Delhi,2024-10-01,1668645.6756635068
Delhi,2024-11-01,1669476.2608679186
Delhi,2024-12-01,1670306.8460723308
Goa,2021-01-01,140947.6194329396
Goa,2021-02-01,141018.09324265606
Goa,2021-03-01,141088.56705237253
Goa,2021-04-01,141159.04086208902
Goa,2021-05-01,141229.5146718055
Goa,2021-06-01,141299.98848152196
Goa,2021-07-01,141370.4622912384
Goa,2021-08-01,141440.9361009549
Goa,2021-09-01,141511.40991067133
Goa,2021-10-01,141581.8837203878
Goa,2021-11-01,141652.35753010426
Goa,2021-12-01,141722.83133982075
Goa,2022-01-01,141909.8248283114
Goa,2022-02-01,141980.77974072553
Goa,2022-03-01,142051.7346531397
Goa,2022-04-01,142122.68956555388
Goa,2022-05-01,142193.64447796802
Goa,2022-06-01,142264.59939038215
Goa,2022-07-01,142335.5543027963
Goa,2022-08-01,142406.50921521048
Goa,2022-09-01,142477.46412762464
Goa,2022-10-01,142548.4190400388
Goa,2022-11-01,142619.37395245294
Goa,2022-12-01,142690.3288648671
Goa,2023-01-01,143056.88100522722
Goa,2023-02-01,143128.40944572983
Goa,2023-03-01,143199.93788623245
Goa,2023-04-01,143271.4663267351
Goa,2023-05-01,143342.99476723766
Goa,2023-06-01,143414.52320774028
Goa,2023-07-01,143486.0516482429
Goa,2023-08-01,143557.58008874554
Goa,2023-09-01,143629.10852924813
Goa,2023-10-01,143700.63696975075
Goa,2023-11-01,143772.16541025334
Goa,2023-12-01,143843.69385075598
Goa,2024-01-01,144367.85957076034
Goa,2024-02-01,144440.0435005457
Goa,2024-03-01,144512.22743033108
Goa,2024-04-01,144584.41136011647
Goa,2024-05-01,144656.59528990186
Goa,2024-06-01,144728.77921968722
Goa,2024-07-01,144800.9631494726
Goa,2024-08-01,144873.147079258
Goa,2024-09-01,144945.33100904338
Goa,2024-10-01,145017.51493882874
Goa,2024-11-01,145089.69886861413
Goa,2024-12-01,145161.88279839954
Gujarat,2021-01-01,5838844.49522061
Gujarat,2021-02-01,5841763.91746822
Gujarat,2021-03-01,5844683.33971583
Gujarat,2021-04-01,5847602.761963441
Gujarat,2021-05-01,5850522.184211051
Gujarat,2021-06-01,5853441.606458661
Gujarat,2021-07-01,5856361.028706271
Gujarat,2021-08-01,5859280.450953882
Gujarat,2021-09-01,5862199.873201492
Gujarat,2021-10-01,5865119.295449102
Gujarat,2021-11-01,5868038.717696712
Gujarat,2021-12-01,5870958.139944324
Gujarat,2022-01-01,5878704.463758151
Gujarat,2022-02-01,5881643.81599003
Gujarat,2022-03-01,5884583.168221909
Gujarat,2022-04-01,5887522.520453788
Gujarat,2022-05-01,5890461.872685666
Gujarat,2022-06-01,5893401.224917546
Gujarat,2022-07-01,5896340.577149425
Gujarat,2022-08-01,5899279.929381304
Gujarat,2022-09-01,5902219.281613183
Gujarat,2022-10-01,5905158.633845062
Gujarat,2022-11-01,5908097.986076941
Gujarat,2022-12-01,5911037.338308821
Gujarat,2023-01-01,5926221.9931157855
Gujarat,2023-02-01,5929185.104112344
Gujarat,2023-03-01,5932148.215108901
Gujarat,2023-04-01,5935111.3261054605
Gujarat,2023-05-01,5938074.437102018
Gujarat,2023-06-01,5941037.548098575
Gujarat,2023-07-01,5944000.659095133
Gujarat,2023-08-01,5946963.770091692
Gujarat,2023-09-01,5949926.881088249
Gujarat,2023-10-01,5952889.992084807
Gujarat,2023-11-01,5955853.103081364
Gujarat,2023-12-01,5958816.214077923
Gujarat,2024-01-01,5980530.111348015
Gujarat,2024-02-01,5983520.376403688
Gujarat,2024-03-01,5986510.641459363
Gujarat,2024-04-01,5989500.906515038
Gujarat,2024-05-01,5992491.171570712
Gujarat,2024-06-01,5995481.436626385
Gujarat,2024-07-01,5998471.701682058
Gujarat,2024-08-01,6001461.966737734
Gujarat,2024-09-01,6004452.231793407
Gujarat,2024-10-01,6007442.4968490815
Gujarat,2024-11-01,6010432.761904755
Gujarat,2024-12-01,6013423.02696043
Haryana,2021-01-01,2449049.4175767316
Haryana,2021-02-01,2450273.94228552
Haryana,2021-03-01,2451498.466994308
Haryana,2021-04-01,2452722.991703097
Haryana,2021-05-01,2453947.516411885
Haryana,2021-06-01,2455172.0411206735
Haryana,2021-07-01,2456396.565829462
Haryana,2021-08-01,2457621.0905382507
Haryana,2021-09-01,2458845.6152470387
Haryana,2021-10-01,2460070.139955827
Haryana,2021-11-01,2461294.664664615
Haryana,2021-12-01,2462519.189373404
Haryana,2022-01-01,2465768.313380756
Haryana,2022-02-01,2467001.197537446
Haryana,2022-03-01,2468234.0816941364
Haryana,2022-04-01,2469466.965850827
Haryana,2022-05-01,2470699.8500075177
Haryana,2022-06-01,2471932.7341642077
Haryana,2022-07-01,2473165.618320898
Haryana,2022-08-01,2474398.5024775886
